"","Major","Minor","ComplexDescr","NbrBldgs","NbrStories","NbrUnits","AvgUnitSize","ProjectLocation","ProjectAppeal","PcntWithView","ConstrClass","BldgQuality","Condition","YrBuilt","EffYr","PcntComplete","Elevators","SectySystem","Fireplace","Laundry","Address"
"9663",149830,1020," ",1,1,2,1260,2,2,0,4,4,3,1928,1967,0,"N","N","N",0,"2122 14TH AVE S 98144"
"9693",418290,0,"4 UNIT CONDOMINIUM CONVERSION",4,1,4,594,4,3,0,4,4,5,1943,1980,100,"N","N"," ",2,"1801 S LANE ST 98144"
"9702",859040,890,"Rooming House",1,6,56,363,0,0,0,4,4,3,2009,2009,100,"Y"," "," ",1,"801 9TH AVE 98104"
"9727",59700,570,"14 UNIT APT",1,4,14,719,3,3,15,4,4,4,1990,1998,100,"N","Y","N",2,"3026 BEACON AVE S 98144"
"9730",266265,0,"25 res + 20 pkg +3 coml unit condo",1,8,48,968,3,3,0,4,5,3,1999,1999,100,"Y","Y"," ",2,"510 6TH AVE S 98104"
"9737",159460,70,"COLLEGE COURT APTS",1,2,14,504,3,3,0,4,4,3,1962,1982,100,"N","N","N",1,"2464 S COLLEGE ST 98144"
"9748",690970,365,"4 PLEX",1,2,4,835,3,3,50,4,4,3,1969,1985,100,"N","N","N",1,"1524 30TH AVE S 98144"
"9761",859040,931,"WESTMINISTER APARTMENTS",1,4,33,795,3,3,0,3,5,3,1906,1984,100,"N","Y","N",1,"903 9TH AVE 98104"
"9787",885000,380,"FOURPLEX",1,2,4,1061,3,3,0,4,5,3,1982,1992,100,"N","N","N",2,"1516 17TH AVE S 98144"
"9797",186560,0,"12 unit condo",1,4,12,740,3,3,0,4,4,3,2000,2000,100,"Y","Y","Y",2,"1729 12TH AVE S 98144"
"9825",788875,0,"CONDOMINIUMS",1,4,20,1174,3,3,0,4,4,3,1983,1983,100,"Y","Y","Y",2,"1515 12TH AVE S 98144"
"9927",982070,90,"53 unit apt",1,5,57,404,2,3,22,4,4,4,1910,1979,100,"Y","Y","N",1,"200 5TH AVE S 98104"
"9966",713330,55,"CHARLEMAGNE APTS",1,2,14,603,3,3,70,4,4,3,1964,1983,100,"N","Y","N",1,"1300 14TH AVE S 98144"
"9969",56700,420,"duplex",1,2,2,1350,3,3,50,4,3,2,1909,1960,100,"N","N","N",2,"901 YAKIMA AVE S 98144"
"10042",766010,135,"FOUR PLEX",1,2,4,847,3,3,0,4,4,3,1955,1979,100,"N","N","N",0,"1316 12TH AVE S 98144"
"10047",505015,0," ",1,5,25,842,3,3,0,4,5,3,2001,2001,100,"Y","Y","N",2,"308 22ND AVE S 98144"
"10145",859090,510,"SAN JUAN",1,3,42,477,3,3,0,3,4,3,1959,1981,100,"N","Y","N",1,"504 TERRY AVE 98104"
"10167",885000,5,"12 UNIT APARTMENT",1,3,12,900,3,3,30,4,4,4,1985,1996,100,"N","Y","N",1,"1527 14TH AVE S 98144"
"10191",367940,295,"APT",1,2,8,523,3,3,0,4,5,3,1958,1983,100,"N","N","N",1,"1495 S COLUMBIAN WAY 98144"
"10228",128230,1335,"ESTELLE APTS",1,2,15,605,2,3,0,4,4,2,1960,1976,100,"N","N","N",1,"3430 RAINIER AVE S 98144"
"10262",364610,310,"APARTMENT BLDG 12 UNITS",1,3,12,775,3,3,0,4,4,2,1967,1977,100,"N","N","N",1,"2201 S MAIN ST 98144"
"10282",388190,185,"4 UNIT",1,2,4,691,3,3,25,4,4,3,1953,1978,100,"N","N","N",1,"1807 13TH AVE S 98144"
"10294",56700,735,"FOURPLEX",1,1,4,870,0,0,0,4,3,3,1963,1978,100,"N","N","N",0,"1113 29TH AVE S 98144"
"10306",142630,305,"APT",1,3,10,670,2,3,0,4,4,2,1966,1977,100,"N","Y","N",1,"2701 S WALDEN ST 98144"
"10335",859090,845,"THE BROADWAY APTS",1,3,33,512,2,3,0,4,4,3,1925,1977,100,"N","Y","N",1,"1203 JAMES ST 98104"
"10346",364610,480," ",2,6,90,865,3,3,0,4,5,3,2004,2004,100,"Y","Y","N",2,"2201 S JACKSON ST 98144"
"10418",57000,285,"APARTMENT",1,3,12,722,3,3,30,4,4,3,1960,1981,100,"N","N","N",1,"2501 13TH AVE S 98144"
"10424",659995,0,"FLATS",1,7,50,893,2,3,10,4,4,3,2000,2000,100,"Y","Y","N",2,"321 10TH AVE S 98104"
"10478",372680,210,"JEFFERSON PK APTS",1,3,26,755,3,3,0,4,6,3,1925,1983,100,"N","Y","N",1,"1756 S SPOKANE ST 98144"
